Paper,Conference,Edition,Year
Segmentorientierte Analyse und nichtlineare Auswertung für die dynamische Unterschriftsverifikation.,Native American Literature Symposium,14,2021
Approximation algorithms for geometrical distance problems that are not solvable exactly.,SOENG ,13,2020
Modifications and acyclic decompositions of relational database schemes.,IJDMS ,15,2021
Multioperator Weighted Monadic Datalog.,AIMS Meeting,18,2023
Rekonstruktionsverfahren zur optischen Tomographie.,"NLPAI--Ei Compendex, Scopus ",4,2022
Dynamische objektorientierte Interaktion und ihre Implementierung im Rahmen eines Schnittstellenverwaltungssystems.,IJMIT ,9,2023
Exzeptionelle Vektorbündel und Reflektionen an Kippgarben über projektiven gewichteten Kurven.,IJCSEIT ,11,2017
Das Traveling Salesman Problem unter disjunktiven Zusatzrestriktionen.,ITCSE ,14,2018
Flexible Unterstützung für Entwurfsprozesse im Kontext von Verwaltungsaufgaben.,GreenCom ,1,2022
Distributed and parallel graph algorithms - models and experiments.,PBIJ ,9,2021
Die Entwurfsphase in MIKE - Methode und Beschreibungssprache.,EDU ,17,2017
On the representation of mathematical concepts and their translation into first-order logic.,ITCON ,10,2023
Hardware-Entwurf auf abstrakten Ebenen unter Verwendung von Methoden aus dem Software-Entwurf.,IJCIS ,17,2021
Sichtbarkeit von Freileitungen - erster Einsatz der graphischen Datenverarbeitung und Bildanalyse.,SEAS,5,2019
Mustererkennung mit neuronalen Assoziativspeichernetzen.,ICCCV--Ei and Scopus,18,2023
Robuste Navigation autonomer mobiler Systeme.,IEIJ ,1,2021
On the automatic generation of test patterns from mixed-level hardware descriptions.,Games Learning & Society Conference,16,2017
Semantische Mediation für heterogene Informationsquellen.,IJNGN ,12,2023
New approaches to in silico design of epitope-based vaccines.,SEC ,8,2017
Analysis of low-resolution range image sequences.,International Conference on Mechanical Industrial & Energy Engineering,19,2017
Dynamic data structures on multiple storage media.,New Ways of Analyzing Variation,16,2023
"Planbasierte Hilfeverfahren für direkt-manipulative Systeme - Erkennung, Vervollständigung und Visualisierung von Interaktionsplänen.",International Congress of Actuaries,18,2023
Symbolic modelling of the dynamic environments of autonomous agents.,TPMC ,5,2022
Analysis dynamischer Datenstrukturen mittels Kettenbrüchen.,ARIN ,18,2018
Programmation dynamique et traitement d'images sur machines parallèles à mémoire distribuée. (Dynamic programming and image processing on distributed memory computers).,IJMECH ,17,2023
Interaktive wissensbasierte Indexierung.,"ICCEE--Ei Compendex, Scopus ",14,2018
Skalierbares und flexibles Live-Video Streaming mit der Media Internet Streaming Toolbox.,ECTIJ ,7,2022
Aktives Sehen zur Echtzeitobjektverfolgung.,MEAP ,13,2022
Vergleichende Bewertung konnektionistischer Modelle mit klassischen statistischen Klassifikationsverfahren.,SAM,12,2020
Parallele Abarbeitung logischer Programme auf einem Multi-Transputer-System.,IJPS ,15,2017
Automates a contraintes arithmetiques et procedures d'evaluation ascendante de programmes logiques.,ArIT ,8,2017
Mit a-Si:H-Dünnschichttransistoren angesteuerte flache Flüssigkristall-Bildschirme für Direktsicht und Projektion.,ICCSEA ,1,2021
Document verification with temporal description logics.,IJITCA ,8,2021
Structure-based molecule indexing for sublinear virtual screening.,IDC ,1,2017
Selbsteinschätzende Lernverfahren - Möglichkeiten und Grenzen.,New Ways of Analyzing Variation,2,2018
Schematransformationen in Datenbanken.,CMIT ,2,2023
Quality of Service and Optimization in Data Integration Systems.,IJICS ,3,2021
Kontinuierliche Verhaltenssteuerung eines autonomen Fahrzeugs in dynamischer Umgebung.,RuhrSec ,9,2022
Providing decision support in the operative management of process disruptions.,International Congress of Americanists,7,2021
Analyse und Bewertung der Konfigurierung von graphischen Systemen auf Mehrprozessor-Architekturen.,TPMC ,19,2021
Markov localization - a probabilistic framework for mobile robot localization and navigation.,TPMC ,8,2023
A rate allocation protocol using competitive pricing for improving performance of multicast sessions.,Community Development & Leadership Summit,14,2018
Funktionsorientierte Hardware zur Lösung des Suchproblems - Entwicklung und Möglichkeiten.,IEEE-Ei/Scopus-CNIOT ,4,2022
Improving computer communication performance by reducing memory bandwidth consumption.,IEEE-EI/Scopus-ITCC ,12,2020
Multimodale Interaktion in virtueller Realität am Beispiel der virtuellen Konstruktion.,dsaai ,15,2023
Nebenläufiges Parsing - ein lexikalisch verteiltes Verfahren zur performanzgrammatischen Analyse beim Textverstehen.,DaMi ,2,2022
Assoziative Methoden zur Mustererkennung.,EI/Scopus--AEEGE ,4,2017
Beiträge zum mobilen Empfang von Satellitensignalen mit adaptiven Antennen spezieller Bauformen.,Conference on Information Technology,11,2023
Natural language in model world interfaces.,ICAIT ,8,2018
Datenparallele Auswertung rekursiver logischer Programme.,International Congress of Quantum Chemistry,18,2020
"Analysis of high throughput data - protein protein interactions, protein complexes and RNA half life.",CSITEC ,14,2018
Näherungsverfahren nach dem Prinzip der maximalen Entropie für Warteschlangen-Verteilungen in geschlossenen Netzwerken.,International Conference on Information Systems,15,2018
Projection in constraint logic programming.,IJSCAI ,15,2023
Betriebsmittelbereitstellung für flexible Fertigungssysteme.,MEAP ,4,2017
Dynamic Code Evolution for Java.,Americas Conference on Information Systems,18,2023
Emissionen klimarelevanter Gase aus der Landwirtschaft - regionale Darstellung und Abschätzung unter Nutzung von GIS am Beispiel des württembergischen Allgäus.,IJICS ,3,2023
Abstract resource language ARL - eine Sprache zur Spezifikation und Kontrolle von Biocomputing Experimenten.,RuhrSec ,6,2020
Ein Verarbeitungsmodell für datenbankgestützte Ingenieuranwendungen in einer arbeitsplatzrechnerorientierten Ablaufumgebung.,ACM--AITC--Ei and Scopus ,16,2018
Verwaltung heterogener Informationen auf optischen Speicherplatten an graphisch-interaktiven Arbeitsplätzen.,IJDKP ,2,2018
Ein wissensbasiertes System zur Modellbildung und Analyse industrieller Handhabungssysteme.,ARIN ,1,2020
Hardware and software mechanisms for reducing load latency.,"ICCCS--IEEE, Ei Compendex, Scopus ",15,2019
Konstruktion von Wissensrepräsentationssprachen durch Nutzen und Erweitern objektorientierter Sprachmittel.,"ACCC--Ei Compendex, Scopus ",18,2022
Bildbeschreibung als Verbindung von visuellem und sprachlichem Raum - eine interdisziplinäre Untersuchung von Bildvorstellungen in einem Hörermodell.,ICAIT ,16,2018
Quantitative Analyse der Spontanmotorik von Säuglingen für die Prognose der infantilen Cerebralparese.,European Conference on Information Systems,10,2018
On Gröbner bases in monoid and group rings.,"ICCEE--Ei Compendex, Scopus ",19,2022
Decidabilite en arithmetiques faibles temps reel sur automates cellulaires.,IJFCSTIA ,2,2022
Software-Werkzeuge für graphisch-interaktive Anwendungen im technischen Bereich.,MLAINLP ,2,2017
Safety assurance in interlocking design.,ICCCV--Ei and Scopus,16,2021
Instruction-processing optimization techniques for VLSI microprocessors.,CSC ,6,2017
Neuronale Netze und die Induktion symbolischer Klassifikationsregeln.,NLPA ,3,2023
Antirationale Transduktionen und ihre Sprachfamilien.,New Ways of Analyzing Variation,3,2021
Automatisiertes Schließen über Kausalbeziehungen mit SLDENDF-Resolution.,Georgetown Leadership Seminar,8,2020
Resource-efficient fault and intrusion tolerance.,NLAI ,19,2018
Darstellung und Integration von Wissen in verbandsbasierten signierten Logikprogrammen.,WiMoA ,20,2017
Towards a strictness analyser for Haskell - putting theory into practice.,NEATCLasS ,3,2020
Efficient object-based hierarchical radiosity methods.,MIET ,19,2021
Relatedness in evidence networks.,ACSIT ,11,2019
"Visualisierungssysteme - Strukturen, Analysen und Verfahren zur Leistungssteigerung durch einen zum Strukturspeicher erweiterten Bildspeicher.",ARIN ,11,2018
Online Surfface Reconstruction from Unorganized Point Clouds with Integrated Texture Mapping.,"ICCSM--Scopus, EI ",13,2018
Applikation und Implementation neuartiger Algorithmen zur digitalen Lagesteuerung elektrohydraulischer Antriebssysteme.,IJFCSTIA ,10,2020
On the hierarchical design of distributed systems.,IJMNCT ,3,2017
Abschätzungstoleranzen im hierarchischen VLSI-Entwurf.,Computing in Cardiology,20,2021
Informationsübertragung in L-Systemen.,BDBS ,3,2021
Architektur eines wissensbasierten Systems zur Unterstützung der Konzeptionsphase in der Konstruktion.,International Congress of Americanists,17,2019
"Partitionierung und Analyse statischer, digitaler CMOS-Schaltungen auf der Schalterebene einer Mixed-Level Testgenerierung.",NLPD ,12,2017
Topological vector field visualization with Clifford algebra.,IJPLA ,12,2019
Untersuchungen über mathematische Maschinen und Simulationen - ein Charakterisierungssatz für die Existenz minimaler Makroauflösungen mathematischer Maschinen.,"IEEE--PRML--Ei, Scopus ",15,2023
Das Schülerinteresse am Computer und seine Berücksichtigung bei der didaktisch-methodischen Gestaltung des informationstechnischen Unterrichtes.,DaMi ,10,2021
On Information-Theoretic Security - Contemporary Problems and Solutions.,"IEEE--CCAI--EI Compendex, Scopus ",17,2017
Techniken für die Bewertung von Spielsituationen anhand von Beispielen.,"CCAT--Ei, Scopus ",18,2019
Räumliche Fragestellungen bei der Konfigurierung.,ARIN ,4,2018
Power domain constructions.,ICCS ,4,2017
READLEX - ein wörterbuchbasierter Ansatz für die Erkennung und Analyse von Text in strukturierten Dokumenten.,SIGL ,18,2018
Computergestütztes Komponieren - wissensbasierte Werkzeuge zur Manipulation musikalischer Gestalten.,MEC ,10,2021
ClusterRAID - architecture and prototype of a distributed fault-tolerant mass storage system for clusters.,"ACM--VRIP--EI, Scopus ",11,2018
Parallele Algorithmen für geometrische Probleme im R3.,EL ,9,2021
Data-parallel implementations of map analysis and animal movement for landscape ecology models.,European Conference on Digital Libraries,9,2023
On optimum convergence rates of the Crank-Nicholson scheme to the stokes initial value problem in higher order function spaces using realistic data.,"ICCCS--IEEE, Ei Compendex, Scopus ",3,2022
"Fastkonvergenz, Faktorfolgen und fastkonvergentes Wirkfeld von Matrixverfahren.",Aarhus Symposium,9,2017
Placement and global routing of VLSI Macro-cell layouts using genetic algorithms.,International Congress of Americanists,11,2023
Expressiveness of conditional equational systems with built-in predicates.,TSP ,9,2018
3D invariants for automated pollen recognition.,"IEEE--ICVR--Ei Compendex, Scopus ",15,2021
Hüllflächen-Diagnose am Beispiel der Radbewegung.,AIMS Meeting,14,2021
"Approximation, Reduktion und Regelextraktion - Semantikbeschreibung für Neuronale Netze.",Sp.issue LNLM - CI & Electrical Systems ,4,2017
Computational complexity versus structural simplicity.,Aspen Ideas Festival,5,2021
"The architecture of eNVy, a non-volatile, main memory storage system.",ICCSEA ,12,2021
"Visual evaluation, scaling and transport of secure videos.",International Congress of Actuaries,5,2020
Zum Lernen mit guten Beispielen.,IJNSA ,2,2019
"Coalgebras, monads and semantics.",MEC ,2,2019
Structural properties of complexity classes.,Comunica2,8,2022
Hausdorff-Reduktionen zu Mengen mit geringem Informationsgehalt.,DMDBS ,12,2023
Eine wissensbasierte Technik zur Testfallauswahl im Konformitätstest von Protokollen.,IADSDTP ,14,2021
Qualitätsmanagement bei Softwarewettbewerben - empirische Untersuchungen und weiterführende Konzepte.,SEAS,5,2018
Entwurf graphischer Benutzerschnittstellen - ein objektorientiertes Interaktionsmodell zur Spezifikation graphischer Dialoge.,Asia-Pacific Regional Conference on Service-Learning,6,2020
"Rasterdisplay-Prozessoren - ihre Bedeutung, Konzepte und Verfahren.",IJGCA ,6,2022
Performance management in ATM networks.,"ICCSM--Scopus, EI ",14,2023
Binary recovery methods for inverse problems.,IJPLA ,8,2019
Novel Techniques for Efficient and Effective Subgroup Discovery.,Aspen Ideas Festival,4,2020
Parallele Implementierung einer funktionalen Programmiersprache auf einem OCCAM-Transputer-System unter besonderer Berücksichtigung applikativer Datenstrukturen.,IJITCS ,16,2018
Global analysis and optimizing compilation of constraint solving algorithms in constraint logic programming.,IJNGN ,15,2019
Integrating twofold case retrieval and complete decision replay in CAPlan/CBC.,Asia-Pacific Regional Conference on Service-Learning,8,2018
"Parallele Anfrageausführung in Shared-Nothing Datenbanksystemen - Architektur, Leistungsanalyse und -optimierung.",CMIT ,7,2020
System für die Programmierung verteilter objektorientierter Applikationen.,New Ways of Analyzing Variation,9,2023
Interaktonen und Solitonwechselwirkungen in der komplexen Ebene.,IJMIT ,9,2019
Object-oriented design and architecture of distributed systems.,"ACM--ICBDC--EI Compendex, Scopus ",17,2020
"Program modules, separate compilation, and intermodule optimisation.",Asian Conference on Electrochemical Power Sources,18,2019
Computational Aspects of Abstract Argumentation.,PBIJ ,4,2019
Decidabilite de l'algebricite de langages associes aux reseaux de Petri.,Aspen Ideas Festival,19,2019
Automatische Erkennung und Ausführung von Korrekturanweisungen in Textdokumenten.,IJCI ,4,2021
Induktive Konstruktion von merkmalsbasierten und logischen Klassifikatoren für relationale Strukturen.,IJFCSTIA ,12,2022
Deklarative Semantik von Logikprogrammen mit Prologs Auswertungsstrategie.,CSC ,14,2021
Exploiting Spatial and Temporal Coherence in GPU-based Volume Rendering.,COMSCI ,4,2020
Stochastic models for performance analyses of iterative algorithms in distributed environments.,Association for Logic Language and Information,7,2019
Kriterien und Zertifizierung mehrseitiger IT-Sicherheit - eine Untersuchung der technischen Grundlagen und der organisatorischen Rahmenbedingungen.,MIET ,14,2017
Variationelle optische Flussberechnung - präzise Modellierung und effziente Numerik.,GreenCom ,18,2022
Inkrementelle semantische Analyse in unvollständigen Programmfragmenten mit Kontextrelationen.,IEEE-Ei/Scopus-CNIOT ,7,2019
Distributed execution environments for the CODE 2.0 parallel programming system.,CMIT ,3,2022
"Assembly of the interactome, characterization of functional modules and novel approaches to the analysis of signaling networks in human platelets.","CCAT--Ei, Scopus ",20,2019
MOSKITO - ein Betriebssystem-Kern für verteilte Echtzeitanwendungen.,NeTCoM ,4,2022
Recognition of circular-arc graphs and some subclasses.,"IEEE--CCAI--EI Compendex, Scopus ",17,2019
Integration von Spracherkennung und Sprachverstehen.,EI/Scopus--AEEGE ,14,2019
Zur formalen Äquivalenz von ebenen algebroiden Kurven in beliebiger Charakteristik.,International Congress of Actuaries,10,2021
Parallel map analysis on the CM-5 for landscape ecology models.,"IEEE--CCAI--EI Compendex, Scopus ",7,2020
Konstruktion und Optimierung von Bewertungsfunktionen beim Schach.,IADSDTP ,13,2022
CoMPaS - ein computergestütztes multimediales System zur Erstellung und Verwaltung von Patientenakten.,IJP2P ,6,2021
Charakterisierung von identifizierbaren Mengen partiell rekursiver Funktionen.,IJSCAI ,10,2020
Parallele Bilderkennung mit hierarchischen Formprimitiven auf Transputernetzen.,NC ,1,2019
Der LSD-Baum - eine mehrdimensionale Zugriffsstruktur und ihre Einsatzmöglichkeiten in Datenbanksystemen.,NLAI ,7,2020
"Fallbasiertes Problemlösen in wissensbaiserten Systemen zur Entscheidungsunterstützung und Diagnostik - Grundlagen, Systeme und Anwendungen.",IEIJ ,20,2022
Kolmogorov randomness and its applications to structural complexity theory.,IJASA ,15,2020
Topology preserving neural networks - connectionist learning of structured knowledge.,TPMC ,7,2021
Ein Ebenenmodell wissensbasierter Konsultationen - Unterstützung für Wissensakquisition und Erklärungsfähigkeit.,International Conference on Mechanical Industrial & Energy Engineering,6,2022
Verfahren und Schaltungseinheiten für Hochleistungsgraphik und Visualisierung.,"CCAT--Ei, Scopus ",10,2021
The SDL pattern approach - a reuse-driven SDL methodology for designing communication software systems.,International Conference on Sociolinguistics,20,2019
Reaktives Planen mit gelernten Begriffen.,ECTIJ ,8,2022
Modal logic and the Curry-Howard isomorphism.,IJCIS ,8,2023
Paires iterantes et langages algebriques.,Association for Logic Language and Information,5,2017
Efficient program monitoring techniques.,MLNLP ,8,2020
Zur Lösung von Finite-Differenzen-und Finite-Element-Gleichungen mittels der Hierarchischen-Transformations-Mehrgitter-Methode - Sonderforschungsbericht 342: Methoden und Werkzeuge für die Nutzung paralleler Rechnerarchitekturen.,"ACM--ICCMS--EI Compendex, Scopus ",3,2020
Vergleich der Leistungsfähigkeit von artifiziellen neuronalen Netzen und biologischen neuronalen Netzen am Beispiel bekannter Lernmechanismen.,"ACCC--Ei Compendex, Scopus ",19,2018
Web ontology reasoning with logic databases.,ACM--AITC--Ei and Scopus ,13,2020
Advances in dissimilarity-based data visualisation.,DaMi ,8,2018
Integrated natural language generation with Schema-TAGs.,Conference on Information Technology,1,2023
Subtree replacement systems.,PBIJ ,14,2018
Bildbasierte Erzeugung kollisionsfreier Transferbewegungen für Industrieroboter.,EasyChair,17,2020
Structural decomposition of hybrid systems.,International Conference on Web Services,18,2018
Forecasting in database systems.,CD-MAKE ,15,2018
Lastverteilungsverfahren zur effizienten Nutzung paralleler Systeme.,SOENG ,17,2021
"A declarative integration of teminological, constraint-based, data-driven, and goal-directed reasoning.",IJASA ,11,2023
"Komplexe interaktive Systeme in der anwendungsorientierten Informatik - interdisziplinäre Analyse-, Entwicklungs- und Gestaltungsmethoden.",GreenCom ,20,2023
Autonomous dynamic reconfiguration in collaborative problem solving.,IJSCAI ,17,2020
Computational aspects of a first-order logic with sorts.,ICCS ,15,2018
Scalable exploration of spatial data in large-scale scientific simulations.,IJMSA ,16,2020
Program and data transformations for efficient execution on distributed memory architectures.,ITCON ,8,2023
SESAME - ein objekt- und datenflußorientierter Simulator für Modelle der Neuroinformatik und angrenzender Gebiete.,MIET ,9,2023
CDL - eine Logik für unendliche nebenläufige Systeme.,SEC ,16,2022
Simulation von Kunst- und Tageslicht mit dem Radiosity-Verfahren.,International Conference on Information Systems,9,2020
Incorporating guarded execution into existing instruction sets.,SIGL ,10,2018
Respiratory motion correction on 3D positron emission tomography images.,"ICCEE--Ei Compendex, Scopus ",11,2019
Considerations on default logics.,The Science of Consciousness,3,2018
Realtime ray tracing and interactive global illumination.,EAMM ,8,2020
Methoden und rechnergestützte Werkzeuge für den logischen Datenbankentwurf.,BDBS ,5,2022
Specification and verification of mobile real-time systems.,INSIGHT ,3,2020
Effective / efficient IT transformation decision processes.,GET ,11,2021
Handling realtime traffic in mobile networks.,ACSIT ,14,2017
Ein Framework generischer objekt-orientierter Basiskonzepte zur Werkzeug-Integration in unterschiedliche konzeptionelle Datenmodelle.,MLAINLP ,14,2020
Globale zyklische Schedulingstrategie - ein Ansatz zur Garantie der harten Zeitbedingungen inverteilten Echtzeitsystemen.,COMSCI ,1,2023
"Stochastic local search - methods, models, applications.",Abstract management,13,2020
Intensionale Updates in deduktiven Datenbanken.,"WSEA--Ei Compendex, Scopus ",12,2019
Architekturen und Modellierung von verteilten Systemen zur Bildverteilung mit Schwerpunkt in der Medizin.,EI/Scopus--DMBDA ,13,2023
Functional models in configuration systems.,"IEEE--CompAuto--EI, Scopus ",18,2022
Zur Seitenwechselkomplexität einfacher Referenzstrukturen.,AMS ,18,2023
Knowledge sharing and trading on electronic marketplaces.,IJITCA ,8,2020
Ein wissensbasiertes natürlichsprachliches Dialogsystem mit Syntax-Semantik-Interaktion auf der Grundlage der Lexical-Functional-Theorie.,RuhrSec ,9,2020
Entwurf und Bearbeitung von Datenbanken im Universalrelationen-Datenmodell.,ArIT ,1,2020
Dissecting cellular states and cell state transitions through integrative analysis of epigenetic dynamics.,ACIJ,13,2022
Cooperation in heterogeneous theorem prover networks.,IJEL ,15,2018
Illustrative visualization of medical data sets.,ITCA ,18,2017
Intelligent-Service-System - von der Vereinheitlichung von Neuro-Fuzzysystemen für SOA bis zur Realisierung einer intelligenten dynamischen Service-Rekonfiguration.,"CCAT--Ei, Scopus ",19,2021
Rechnergestützte Wissensakquisition für Werkzeuge zum Entwurf integrierter Schaltungen.,IJMIT ,1,2017
"Backup und Recovery in Datenbanksystemen - Verfahren, Klassifikation, Implementierung und Bewertung.",CD-MAKE ,14,2018
Benutzermodellierung für benutzerspezifische Plangenerierung und -präsentation.,IJMSA ,6,2017
"Teamwork - eine Methode zum Entwurf verteilter, wissensbasierter Theorembeweiser.",BDBS ,13,2019
Media encryption for still visual data - an analysis of selected techniques for natural images and fingerprint data in the spatial and wavelet domain.,ArIT ,15,2019
Gewinnung effektiver Relevanzbeschreibungen und Indexierungsfunktionen für die automatische Indexierung.,"WSEA--Ei Compendex, Scopus ",13,2019
Verallgemeinerte kommutative Sprachen.,International Conference on Information Systems Security and Privacy,14,2019
"On development, feasibility, and limits of highly efficient CPU and GPU programs in several fields - fast parallel SIMDized GPU-accelerated reed-solomon encoding, heterogeneous linpack benchmark, and event reconstruction for the ALICE experiment.",IADSDTP ,16,2017
Transduction d'arborescences - application aux manipulations de formules sur ordinateur.,NLCA ,18,2017
Modeling of image variability for recognition.,New Ways of Analyzing Variation,8,2022
The Asynchronous Graz Brain Switch.,Asian Conference on Electrochemical Power Sources,2,2023
Decoupling Vision from Action - Redirected Walking and Rehabilitaiton in Immersive Virtual Environments.,Annual International Conference on Real Options,8,2018
Toward a complexity theory for randomized search heuristics.,SEC ,20,2018
Stand und Perspektiven informatischer Berufsethik.,"ICCSM--Scopus, EI ",5,2020
On types and type consistency in logic programming.,AITIJ ,4,2021
Communications intensives dans les architectures a memoire distribuee et algorithmes paralleles pour la recherche de racines de polynomes.,DMML ,15,2022
Über Zufallselemente in meßbaren Vektorräumen und einige Fragen der Approximation von Zufallselementen und Zufallsprozessen.,IJMECH ,12,2018
Ein Einschubsystem für die musikwissenschaftliche Analyse - basierend auf einem Ansatz zur bruchlosen Modellierung von Anwendungsfamilien mit Rahmenwerken und Komponenten.,"ACCC--Ei Compendex, Scopus ",20,2022
Einsatz flagorientierter assoziativer Konzepte zur Beschleunigung deterministischer Funktionstests in Schreib-/Lesespeichern.,SEAS,4,2023
Modell geschachtelter Relationen - Effiziente Unterstützung einer relationalen Datenbankschnittstelle.,NLAI ,10,2017
Das Entscheidungsproblem für einige Erweiterungen der Nachfolger-Arithmetik.,COMSCI ,1,2019
Advanced visualization and modeling of tetrahedral meshes.,"ACCC--Ei Compendex, Scopus ",13,2020
Mehrdimensionale Fast Rule Filterautomaten.,IJSCMC ,7,2017
The temporal properties of english conditionals and modals.,Demos@AIME ,8,2017
A connectionist approach for learning search-control heuristics for automated deduction systems.,"ACM--VRIP--EI, Scopus ",10,2023
Ensemble algorithms with applications to clustering and image segmentation.,Georgetown Leadership Seminar,20,2023
Objektorientiertes Metamodell für die Software-Entwicklung.,Association for Laboratory Phonology,19,2023
A structural approach to diophantine definability.,EI/Scopus--SPISCS ,12,2021
Mustergesteuerte Strategien für das Beweisen von Gleichungen.,SERA ,12,2017
Ein Tutoring Prozess Modell für fallbasierte intelligente Tutoring Systeme.,EI/Scopus--DMBDA ,11,2017
Optimierung funktionaler Programme mittels abstrakter Programm-Interpretation.,IEEE-Ei/Scopus-CNIOT ,16,2017
H2-Konvergenz der Rothe-Approximationen für das Navier-Stokessche Anfangs-Randwertproblem in Außengebieten.,IJMNCT ,12,2022
Automatic offline understanding of hand-drawn sketch maps.,PBIJ ,5,2020
Konzeption von bildgenerierenden Systemen in einer integrierten CAD-Arbeitsplatzumgebung und deren Realisierung.,SIGL ,17,2022
Diskursive Anforderungsanalyse und Validierung - ein Beitrag zum Reduktionsproblem bei Systementwicklungen in der Informatik.,"NLPAI--Ei Compendex, Scopus ",20,2023
Formale Beschreibung von Rechnerarchitekturen und Programmsprachen - Implementierung und Anwendung in einem erzeugenden System für Codegeneratoren.,IJCI ,16,2020
Exakte Charakterisierung eines semantischen Datenmodells und seiner Operationen durch relationale Konzepte.,IEIJ ,19,2019
Synthese und Koordination von Sprache und Gestik für virtuelle multimodale Agenten.,International Conference on Parallel and Distributed Systems,8,2023
Erkennung von Objekten in Einzelvideobildern mittels Aspektbäumen.,NLPD ,9,2020
Semantics and correctness of classes of deterministic and nondeterministic recursive programs.,MLNLP ,15,2021
A Framework for Automated HW/SW Co-Verification of SystemC Designs Using Timed Automata.,Asian Conference on Electrochemical Power Sources,13,2019
OASIS - an open architecture for secure interworking services.,CBDA ,16,2023
"Dynamische adaptive Lastbalancierung für große, heterogen konkurrierende Anwendungen.",BDBS ,6,2020
Syntaxe des langages de Chomsky - essai sur le determinisme.,IJMSA ,12,2023
Strukturbasierte Sichtdefinition in objektorientierten Datenbanksystemen.,SOENG ,11,2019
"Structured non-coding RNAs - prediction, comparison, annotation.",AIMS Meeting,9,2021
Ein System für die Konstruktion objektorientierter Übersetzer.,International Conference on Mechanical Industrial & Energy Engineering,17,2018
