paper,author
Adaption der Topologie von Kohonen-Karten durch genetische Algorithmen.,Mohamed Medhat Gaber
Adaption der Topologie von Kohonen-Karten durch genetische Algorithmen.,Pietro Coli
Adaption der Topologie von Kohonen-Karten durch genetische Algorithmen.,James P. M. Ntozi
Adaptive Constraintverarbeitung mit Constraint-Handling-Rules - ein allgemeiner Ansatz zur Lösung dynamischer Constraint-Probleme.,Amritpal Singh Bhachu
Adaptive Constraintverarbeitung mit Constraint-Handling-Rules - ein allgemeiner Ansatz zur Lösung dynamischer Constraint-Probleme.,Mohamed Medhat Gaber
Adaptive Constraintverarbeitung mit Constraint-Handling-Rules - ein allgemeiner Ansatz zur Lösung dynamischer Constraint-Probleme.,Pietro Coli
Adaptive Constraintverarbeitung mit Constraint-Handling-Rules - ein allgemeiner Ansatz zur Lösung dynamischer Constraint-Probleme.,James P. M. Ntozi
Adaptive Neuronale Netze und ihre Anwendung als Modelle der Entwicklung kortikaler Karten.,Amritpal Singh Bhachu
Adaptive Neuronale Netze und ihre Anwendung als Modelle der Entwicklung kortikaler Karten.,Mohamed Medhat Gaber
Adaptive Neuronale Netze und ihre Anwendung als Modelle der Entwicklung kortikaler Karten.,Pietro Coli
Adaptive Neuronale Netze und ihre Anwendung als Modelle der Entwicklung kortikaler Karten.,James P. M. Ntozi
Adaptive Roboterkontrolle mit konnektionistischen Systemen.,Amritpal Singh Bhachu
Adaptive Roboterkontrolle mit konnektionistischen Systemen.,Mohamed Medhat Gaber
Adaptive Roboterkontrolle mit konnektionistischen Systemen.,Pietro Coli
Adaptive Roboterkontrolle mit konnektionistischen Systemen.,James P. M. Ntozi
Adaptive Steuerungen - Fuzzy Control im Vergleich zu Regelungstechnik und neuronalen Netzen.,Amritpal Singh Bhachu
Adaptive Steuerungen - Fuzzy Control im Vergleich zu Regelungstechnik und neuronalen Netzen.,Mohamed Medhat Gaber
Adaptive Steuerungen - Fuzzy Control im Vergleich zu Regelungstechnik und neuronalen Netzen.,Pietro Coli
Adaptive Steuerungen - Fuzzy Control im Vergleich zu Regelungstechnik und neuronalen Netzen.,James P. M. Ntozi
Adaptive layout of dynamic web pages.,Amritpal Singh Bhachu
Adaptive layout of dynamic web pages.,Mohamed Medhat Gaber
Adaptive layout of dynamic web pages.,Pietro Coli
Adaptive layout of dynamic web pages.,James P. M. Ntozi
Aktives Sehen zur Echtzeitobjektverfolgung.,Amritpal Singh Bhachu
Aktives Sehen zur Echtzeitobjektverfolgung.,Mohamed Medhat Gaber
Aktives Sehen zur Echtzeitobjektverfolgung.,Pietro Coli
Algebraic domain decomposition.,Amritpal Singh Bhachu
Algebraic domain decomposition.,Mohamed Medhat Gaber
Algebraic domain decomposition.,Pietro Coli
Algorithms for VLSI partitioning and routing.,Amritpal Singh Bhachu
Algorithms for VLSI partitioning and routing.,Mohamed Medhat Gaber
Algorithms for VLSI partitioning and routing.,Pietro Coli
Algorithms for VLSI partitioning and routing.,James P. M. Ntozi
Algorithms for scheduling malleable and nonmalleable parallel tasks.,Amritpal Singh Bhachu
Algorithms for scheduling malleable and nonmalleable parallel tasks.,Mohamed Medhat Gaber
Algorithms for scheduling malleable and nonmalleable parallel tasks.,Pietro Coli
An Inductive Logic Programming Approach to Statistical Relational Learning,Amritpal Singh Bhachu
An Inductive Logic Programming Approach to Statistical Relational Learning,Mohamed Medhat Gaber
An Inductive Logic Programming Approach to Statistical Relational Learning,Pietro Coli
An algorithmic framework for checking coverability in well-structured transition systems.,Amritpal Singh Bhachu
An algorithmic framework for checking coverability in well-structured transition systems.,Mohamed Medhat Gaber
An algorithmic framework for checking coverability in well-structured transition systems.,Pietro Coli
An anytime approach to connectionist theory refinement - refining the topologies of knowledge-based neural networks.,Amritpal Singh Bhachu
An anytime approach to connectionist theory refinement - refining the topologies of knowledge-based neural networks.,Mohamed Medhat Gaber
An anytime approach to connectionist theory refinement - refining the topologies of knowledge-based neural networks.,Pietro Coli
An architecture for distributed user interfaces.,Amritpal Singh Bhachu
An architecture for distributed user interfaces.,Mohamed Medhat Gaber
An architecture for distributed user interfaces.,Pietro Coli
An empirical evaluation of dependence analysis in parallel program comprehension.,Amritpal Singh Bhachu
An empirical evaluation of dependence analysis in parallel program comprehension.,Mohamed Medhat Gaber
An empirical evaluation of dependence analysis in parallel program comprehension.,Pietro Coli
Analysis of low-resolution range image sequences.,Amritpal Singh Bhachu
Analysis of low-resolution range image sequences.,Mohamed Medhat Gaber
Analysis of low-resolution range image sequences.,Pietro Coli
Anwendungsspezifische Fuzzy-Clustermethoden.,Amritpal Singh Bhachu
Anwendungsspezifische Fuzzy-Clustermethoden.,Mohamed Medhat Gaber
Anwendungsspezifische Fuzzy-Clustermethoden.,Pietro Coli
Anwendungsspezifische Fuzzy-Clustermethoden.,James P. M. Ntozi
Anwendungsspezifische Fuzzy-Clustermethoden.,André Frank Krause
Application support for mobile computing.,Amritpal Singh Bhachu
Application support for mobile computing.,Mohamed Medhat Gaber
Application support for mobile computing.,Pietro Coli
Application support for mobile computing.,James P. M. Ntozi
Approaches to interprocedural register allocation.,Amritpal Singh Bhachu
Approaches to interprocedural register allocation.,Mohamed Medhat Gaber
Approaches to interprocedural register allocation.,Pietro Coli
Architectures for high performance communication.,Amritpal Singh Bhachu
Architectures for high performance communication.,Mohamed Medhat Gaber
Architectures for high performance communication.,Pietro Coli
Architectures for high performance communication.,James P. M. Ntozi
Aussprachewörterbücher zur automatischen Spracherkennung.,Amritpal Singh Bhachu
Aussprachewörterbücher zur automatischen Spracherkennung.,Mohamed Medhat Gaber
Aussprachewörterbücher zur automatischen Spracherkennung.,Pietro Coli
Automata learning and its applications.,Amritpal Singh Bhachu
Automata learning and its applications.,Mohamed Medhat Gaber
Automata learning and its applications.,Pietro Coli
Automata learning and its applications.,James P. M. Ntozi
Automated design of neural network architecture for classification.,Amritpal Singh Bhachu
Automated design of neural network architecture for classification.,Mohamed Medhat Gaber
Automated design of neural network architecture for classification.,Pietro Coli
Automatic termination analysis for functional and imperative programs.,Amritpal Singh Bhachu
Automatic termination analysis for functional and imperative programs.,Mohamed Medhat Gaber
Automatic termination analysis for functional and imperative programs.,Pietro Coli
Automatic termination analysis for functional and imperative programs.,James P. M. Ntozi
"Automatically proving the correctness of translations involving optimized code - research sponsored by Advanced Research Projects Agency, ARPA order no. 2494.",Amritpal Singh Bhachu
"Automatically proving the correctness of translations involving optimized code - research sponsored by Advanced Research Projects Agency, ARPA order no. 2494.",Mohamed Medhat Gaber
"Automatically proving the correctness of translations involving optimized code - research sponsored by Advanced Research Projects Agency, ARPA order no. 2494.",Pietro Coli
Automatische Abstraktion in 3D-Graphiken.,Amritpal Singh Bhachu
Automatische Abstraktion in 3D-Graphiken.,Mohamed Medhat Gaber
Automatische Abstraktion in 3D-Graphiken.,Pietro Coli
Automatische Abstraktion in 3D-Graphiken.,James P. M. Ntozi
Automatische Abstraktion in 3D-Graphiken.,André Frank Krause
Automatische Erkennung und Ausführung von Korrekturanweisungen in Textdokumenten.,Amritpal Singh Bhachu
Automatische Erkennung und Ausführung von Korrekturanweisungen in Textdokumenten.,Mohamed Medhat Gaber
Automatische Erkennung und Ausführung von Korrekturanweisungen in Textdokumenten.,Pietro Coli
Automatische Erkennung und Ausführung von Korrekturanweisungen in Textdokumenten.,James P. M. Ntozi
Automatische Erzeugung dreidimensionaler Modelle für Bildanalysesysteme.,Amritpal Singh Bhachu
Automatische Erzeugung dreidimensionaler Modelle für Bildanalysesysteme.,Mohamed Medhat Gaber
Automatische Erzeugung dreidimensionaler Modelle für Bildanalysesysteme.,Pietro Coli
Automatische Erzeugung dreidimensionaler Modelle für Bildanalysesysteme.,James P. M. Ntozi
Automatische Erzeugung dreidimensionaler Modelle für Bildanalysesysteme.,André Frank Krause
Automatische Musterklassifikation mit hierarchischen Fuzzy-Regelbasen.,Amritpal Singh Bhachu
Automatische Musterklassifikation mit hierarchischen Fuzzy-Regelbasen.,Mohamed Medhat Gaber
Automatische Musterklassifikation mit hierarchischen Fuzzy-Regelbasen.,Pietro Coli
Automatisiertes Schließen über Kausalbeziehungen mit SLDENDF-Resolution.,Amritpal Singh Bhachu
Automatisiertes Schließen über Kausalbeziehungen mit SLDENDF-Resolution.,Mohamed Medhat Gaber
Automatisiertes Schließen über Kausalbeziehungen mit SLDENDF-Resolution.,Pietro Coli
Automatisiertes Schließen über Kausalbeziehungen mit SLDENDF-Resolution.,James P. M. Ntozi
Automatisiertes Schließen über Kausalbeziehungen mit SLDENDF-Resolution.,André Frank Krause
Automatisierung von Terminierungsbeweisen für rekursiv definierte Algorithmen.,Amritpal Singh Bhachu
Automatisierung von Terminierungsbeweisen für rekursiv definierte Algorithmen.,Mohamed Medhat Gaber
Automatisierung von Terminierungsbeweisen für rekursiv definierte Algorithmen.,Pietro Coli
Automatisierung von Terminierungsbeweisen für rekursiv definierte Algorithmen.,James P. M. Ntozi
Automatisierung von Terminierungsbeweisen für rekursiv definierte Algorithmen.,André Frank Krause
Benutzeradaptive und multimodale Interface-Agenten.,Amritpal Singh Bhachu
Benutzeradaptive und multimodale Interface-Agenten.,Mohamed Medhat Gaber
Benutzeradaptive und multimodale Interface-Agenten.,Pietro Coli
Benutzeranpaßbare semantische Sprachanalyse und Begriffsrepräsentation für die medizinische Dokumentation.,Amritpal Singh Bhachu
Benutzeranpaßbare semantische Sprachanalyse und Begriffsrepräsentation für die medizinische Dokumentation.,Mohamed Medhat Gaber
Benutzeranpaßbare semantische Sprachanalyse und Begriffsrepräsentation für die medizinische Dokumentation.,Pietro Coli
Benutzeranpaßbare semantische Sprachanalyse und Begriffsrepräsentation für die medizinische Dokumentation.,James P. M. Ntozi
"Benutzermodellierung für adaptive interaktive Systeme - Architektur, Methoden, Werkzeuge und Anwendungen.",Amritpal Singh Bhachu
"Benutzermodellierung für adaptive interaktive Systeme - Architektur, Methoden, Werkzeuge und Anwendungen.",Mohamed Medhat Gaber
"Benutzermodellierung für adaptive interaktive Systeme - Architektur, Methoden, Werkzeuge und Anwendungen.",Pietro Coli
"Benutzermodellierung für adaptive interaktive Systeme - Architektur, Methoden, Werkzeuge und Anwendungen.",James P. M. Ntozi
"Benutzermodellierung für adaptive interaktive Systeme - Architektur, Methoden, Werkzeuge und Anwendungen.",André Frank Krause
Benutzermodellierung für benutzerspezifische Plangenerierung und -präsentation.,Amritpal Singh Bhachu
Benutzermodellierung für benutzerspezifische Plangenerierung und -präsentation.,Mohamed Medhat Gaber
Benutzermodellierung für benutzerspezifische Plangenerierung und -präsentation.,Pietro Coli
Bildbasierte Erzeugung kollisionsfreier Transferbewegungen für Industrieroboter.,Amritpal Singh Bhachu
Bildbasierte Erzeugung kollisionsfreier Transferbewegungen für Industrieroboter.,Mohamed Medhat Gaber
Bildbasierte Erzeugung kollisionsfreier Transferbewegungen für Industrieroboter.,Pietro Coli
Bildbeschreibung als Verbindung von visuellem und sprachlichem Raum - eine interdisziplinäre Untersuchung von Bildvorstellungen in einem Hörermodell.,Amritpal Singh Bhachu
Bildbeschreibung als Verbindung von visuellem und sprachlichem Raum - eine interdisziplinäre Untersuchung von Bildvorstellungen in einem Hörermodell.,Mohamed Medhat Gaber
Bildbeschreibung als Verbindung von visuellem und sprachlichem Raum - eine interdisziplinäre Untersuchung von Bildvorstellungen in einem Hörermodell.,Pietro Coli
Bildinterpretation durch Modellkonstruktion - eine Theorie zur rechnergestützten Analyse von Bildern.,Amritpal Singh Bhachu
Bildinterpretation durch Modellkonstruktion - eine Theorie zur rechnergestützten Analyse von Bildern.,Mohamed Medhat Gaber
Bildinterpretation durch Modellkonstruktion - eine Theorie zur rechnergestützten Analyse von Bildern.,Pietro Coli
Bildinterpretation durch Modellkonstruktion - eine Theorie zur rechnergestützten Analyse von Bildern.,James P. M. Ntozi
Closed streamlines in flow visualization.,Amritpal Singh Bhachu
Closed streamlines in flow visualization.,Mohamed Medhat Gaber
Closed streamlines in flow visualization.,Pietro Coli
Combinatorical ordering and the geometric embedding of graphs.,Amritpal Singh Bhachu
Combinatorical ordering and the geometric embedding of graphs.,Mohamed Medhat Gaber
Combinatorical ordering and the geometric embedding of graphs.,Pietro Coli
Competitive algorithms for the array updating problem in functional languages.,Amritpal Singh Bhachu
Competitive algorithms for the array updating problem in functional languages.,Mohamed Medhat Gaber
Competitive algorithms for the array updating problem in functional languages.,Pietro Coli
Competitive algorithms for the array updating problem in functional languages.,James P. M. Ntozi
Competitive algorithms for the array updating problem in functional languages.,André Frank Krause
Compiler generation for parallel languages from denotational specifications.,Amritpal Singh Bhachu
Compiler generation for parallel languages from denotational specifications.,Mohamed Medhat Gaber
Compiler generation for parallel languages from denotational specifications.,Pietro Coli
Compiler support for machine-independent parallelization of irregular problems.,Amritpal Singh Bhachu
Compiler support for machine-independent parallelization of irregular problems.,Mohamed Medhat Gaber
Compiler support for machine-independent parallelization of irregular problems.,Pietro Coli
Compiling and executing finite domain constraints.,Amritpal Singh Bhachu
Compiling and executing finite domain constraints.,Mohamed Medhat Gaber
Compiling and executing finite domain constraints.,Pietro Coli
Compiling and executing finite domain constraints.,James P. M. Ntozi
Component-based user guidance in knowledge discovery and data mining.,Amritpal Singh Bhachu
Component-based user guidance in knowledge discovery and data mining.,Mohamed Medhat Gaber
Component-based user guidance in knowledge discovery and data mining.,Pietro Coli
Component-based user guidance in knowledge discovery and data mining.,James P. M. Ntozi
Component-based user guidance in knowledge discovery and data mining.,André Frank Krause
Computational applications of calculi based on monads.,Amritpal Singh Bhachu
Computational applications of calculi based on monads.,Mohamed Medhat Gaber
Computational applications of calculi based on monads.,Pietro Coli
Computational applications of calculi based on monads.,James P. M. Ntozi
Computational applications of calculi based on monads.,André Frank Krause
Connection tableau calculi with disjunctive constraints.,Amritpal Singh Bhachu
Connection tableau calculi with disjunctive constraints.,Mohamed Medhat Gaber
Connection tableau calculi with disjunctive constraints.,Pietro Coli
Constraint-Netze als Grundlage für Bottom-up Planungsansätze in der Unternehmensmodellierung.,Amritpal Singh Bhachu
Constraint-Netze als Grundlage für Bottom-up Planungsansätze in der Unternehmensmodellierung.,Mohamed Medhat Gaber
Constraint-Netze als Grundlage für Bottom-up Planungsansätze in der Unternehmensmodellierung.,Pietro Coli
Constraints and negations in logic programming.,Amritpal Singh Bhachu
Constraints and negations in logic programming.,Mohamed Medhat Gaber
Constraints and negations in logic programming.,Pietro Coli
"Constructions, inductive types and strong normalization.",Amritpal Singh Bhachu
"Constructions, inductive types and strong normalization.",Mohamed Medhat Gaber
"Constructions, inductive types and strong normalization.",Pietro Coli
"Constructions, inductive types and strong normalization.",James P. M. Ntozi
"Constructions, inductive types and strong normalization.",André Frank Krause
Cooperation in heterogeneous theorem prover networks.,Amritpal Singh Bhachu
Cooperation in heterogeneous theorem prover networks.,Mohamed Medhat Gaber
Cooperation in heterogeneous theorem prover networks.,Pietro Coli
Cooperation in heterogeneous theorem prover networks.,James P. M. Ntozi
Counter examples in semantic tableaux.,Amritpal Singh Bhachu
Counter examples in semantic tableaux.,Mohamed Medhat Gaber
Counter examples in semantic tableaux.,Pietro Coli
Counter examples in semantic tableaux.,James P. M. Ntozi
Cyclops - Wissensbasierte Bildanalyse in der Medizin.,Amritpal Singh Bhachu
Cyclops - Wissensbasierte Bildanalyse in der Medizin.,Mohamed Medhat Gaber
Cyclops - Wissensbasierte Bildanalyse in der Medizin.,Pietro Coli
Cyclops - Wissensbasierte Bildanalyse in der Medizin.,James P. M. Ntozi
Cyclops - Wissensbasierte Bildanalyse in der Medizin.,André Frank Krause
DIA-MOLE - Modellierung gesprochen-sprachlicher Dialoge unter Zuhilfenahme eines maschinellen Lernverfahrens.,Amritpal Singh Bhachu
DIA-MOLE - Modellierung gesprochen-sprachlicher Dialoge unter Zuhilfenahme eines maschinellen Lernverfahrens.,Mohamed Medhat Gaber
DIA-MOLE - Modellierung gesprochen-sprachlicher Dialoge unter Zuhilfenahme eines maschinellen Lernverfahrens.,Pietro Coli
DIA-MOLE - Modellierung gesprochen-sprachlicher Dialoge unter Zuhilfenahme eines maschinellen Lernverfahrens.,James P. M. Ntozi
DIA-MOLE - Modellierung gesprochen-sprachlicher Dialoge unter Zuhilfenahme eines maschinellen Lernverfahrens.,André Frank Krause
DRUM-II - efficient model-based diagnosis of technical systems.,Amritpal Singh Bhachu
DRUM-II - efficient model-based diagnosis of technical systems.,Mohamed Medhat Gaber
DRUM-II - efficient model-based diagnosis of technical systems.,Pietro Coli
DRUM-II - efficient model-based diagnosis of technical systems.,James P. M. Ntozi
DRUM-II - efficient model-based diagnosis of technical systems.,André Frank Krause
Darstellung und Integration von Wissen in verbandsbasierten signierten Logikprogrammen.,Amritpal Singh Bhachu
Darstellung und Integration von Wissen in verbandsbasierten signierten Logikprogrammen.,Mohamed Medhat Gaber
Darstellung und Integration von Wissen in verbandsbasierten signierten Logikprogrammen.,Pietro Coli
Darstellung und Integration von Wissen in verbandsbasierten signierten Logikprogrammen.,James P. M. Ntozi
Darstellungsform positiv angeordneter Halbgruppen.,Amritpal Singh Bhachu
Darstellungsform positiv angeordneter Halbgruppen.,Mohamed Medhat Gaber
Darstellungsform positiv angeordneter Halbgruppen.,Pietro Coli
Darstellungsform positiv angeordneter Halbgruppen.,James P. M. Ntozi
Das 3-stufige Frame-Repräsentationsschema - eine mehrdimensional modulare Basis für die Entwicklung von Expertensystemkernen.,Amritpal Singh Bhachu
Das 3-stufige Frame-Repräsentationsschema - eine mehrdimensional modulare Basis für die Entwicklung von Expertensystemkernen.,Mohamed Medhat Gaber
Das 3-stufige Frame-Repräsentationsschema - eine mehrdimensional modulare Basis für die Entwicklung von Expertensystemkernen.,Pietro Coli
Das 3-stufige Frame-Repräsentationsschema - eine mehrdimensional modulare Basis für die Entwicklung von Expertensystemkernen.,James P. M. Ntozi
Das 3-stufige Frame-Repräsentationsschema - eine mehrdimensional modulare Basis für die Entwicklung von Expertensystemkernen.,André Frank Krause
Data-parallel implementations of map analysis and animal movement for landscape ecology models.,Amritpal Singh Bhachu
Data-parallel implementations of map analysis and animal movement for landscape ecology models.,Mohamed Medhat Gaber
Data-parallel implementations of map analysis and animal movement for landscape ecology models.,Pietro Coli
"Datenbankentwurf im Dialog - integrierte Beschreibung von Strukturen, Transaktionen und Konsistenz.",Amritpal Singh Bhachu
"Datenbankentwurf im Dialog - integrierte Beschreibung von Strukturen, Transaktionen und Konsistenz.",Mohamed Medhat Gaber
"Datenbankentwurf im Dialog - integrierte Beschreibung von Strukturen, Transaktionen und Konsistenz.",Pietro Coli
"Datenbankentwurf im Dialog - integrierte Beschreibung von Strukturen, Transaktionen und Konsistenz.",James P. M. Ntozi
Datenstrukturen und Lernverfahren in der Zustandsraumsuche.,Amritpal Singh Bhachu
Datenstrukturen und Lernverfahren in der Zustandsraumsuche.,Mohamed Medhat Gaber
Datenstrukturen und Lernverfahren in der Zustandsraumsuche.,Pietro Coli
Datenstrukturen und Lernverfahren in der Zustandsraumsuche.,James P. M. Ntozi
Datenstrukturen und Lernverfahren in der Zustandsraumsuche.,André Frank Krause
Deduktion mit Shannongraphen für Prädikatenlogik erster Stufe.,Amritpal Singh Bhachu
Deduktion mit Shannongraphen für Prädikatenlogik erster Stufe.,Mohamed Medhat Gaber
Deduktion mit Shannongraphen für Prädikatenlogik erster Stufe.,Pietro Coli
Definition und Auswertung erweiterter Fehlerbäume für die Zuverlässigkeitsanalyse technischer Systeme.,Amritpal Singh Bhachu
Definition und Auswertung erweiterter Fehlerbäume für die Zuverlässigkeitsanalyse technischer Systeme.,Mohamed Medhat Gaber
Definition und Auswertung erweiterter Fehlerbäume für die Zuverlässigkeitsanalyse technischer Systeme.,Pietro Coli
Definition und Auswertung erweiterter Fehlerbäume für die Zuverlässigkeitsanalyse technischer Systeme.,James P. M. Ntozi
Dependency-based groundness analysis of functional logic programs.,Amritpal Singh Bhachu
Dependency-based groundness analysis of functional logic programs.,Mohamed Medhat Gaber
Dependency-based groundness analysis of functional logic programs.,Pietro Coli
Dependency-based groundness analysis of functional logic programs.,James P. M. Ntozi
Design and implementation of an or-parallel Prolog engine.,Amritpal Singh Bhachu
Design and implementation of an or-parallel Prolog engine.,Mohamed Medhat Gaber
Design and implementation of an or-parallel Prolog engine.,Pietro Coli
Design and implementation of an or-parallel Prolog engine.,James P. M. Ntozi
Design of self-testing checkers for unidirectional error detecting codes.,Amritpal Singh Bhachu
Design of self-testing checkers for unidirectional error detecting codes.,Mohamed Medhat Gaber
Design of self-testing checkers for unidirectional error detecting codes.,Pietro Coli
Design of self-testing checkers for unidirectional error detecting codes.,James P. M. Ntozi
Design of self-testing checkers for unidirectional error detecting codes.,André Frank Krause
"Detektion, Verfolgung und Klassifikation bewegter Objekte in monokularen Bildfolgen am Beispiel von Straßenverkehrsszenen.",Amritpal Singh Bhachu
"Detektion, Verfolgung und Klassifikation bewegter Objekte in monokularen Bildfolgen am Beispiel von Straßenverkehrsszenen.",Mohamed Medhat Gaber
"Detektion, Verfolgung und Klassifikation bewegter Objekte in monokularen Bildfolgen am Beispiel von Straßenverkehrsszenen.",Pietro Coli
"Detektion, Verfolgung und Klassifikation bewegter Objekte in monokularen Bildfolgen am Beispiel von Straßenverkehrsszenen.",James P. M. Ntozi
Deterministic languages and monadic recursion schemes.,Amritpal Singh Bhachu
Deterministic languages and monadic recursion schemes.,Mohamed Medhat Gaber
Deterministic languages and monadic recursion schemes.,Pietro Coli
Deterministic languages and monadic recursion schemes.,James P. M. Ntozi
Devices in a multi-service operating system.,Amritpal Singh Bhachu
Devices in a multi-service operating system.,Mohamed Medhat Gaber
Devices in a multi-service operating system.,Pietro Coli
Devices in a multi-service operating system.,James P. M. Ntozi
Devices in a multi-service operating system.,André Frank Krause
Didaktische Strategien in generierten Trainingssystemen zum diagnostischen Problemlösen.,Amritpal Singh Bhachu
Didaktische Strategien in generierten Trainingssystemen zum diagnostischen Problemlösen.,Mohamed Medhat Gaber
Didaktische Strategien in generierten Trainingssystemen zum diagnostischen Problemlösen.,Pietro Coli
