paper,keywords,topics
Computer assisted planning for robotic radiosurgery.,computer:robotic:assisted,Emerging Technologies
"Schematic Maps on Demand - Design, Modeling and Visualization.",modeling:maps:schematic,Computer Vision and Pattern Recognition
Langages quasideterministes.,quasideterministes.,Machine Learning
Analyse und Approximation von unstrukturierten Daten und Freiformflächen.,unstrukturierten:daten,Human-Computer Interaction
A combined parametric and nonparametric approach to time series analysis - motivated by coastal upwelling prediction.,time:analysis:approach,Information Retrieval
Algorithmische Konstruktionen von Gittern.,gittern.:algorithmische,Graphics
Monoides syntactiques et langages algebriques.,monoides:syntactiques,Formal Languages and Automata Theory
Wissen und Wissensvermittlung im Kontext von internetbasierten intelligenten Lehr- und Lernumgebungen.,intelligenten:lehr-,Computational Complexity
Generalized complexity cores and levelability of intractable sets.,intractable:generalized,Sound
Verfeinerung in der objektorientierten Programmkonstruktion.,objektorientierten:verfeinerung,Computation and Language
Unterstützung des Entwurfs konsistenzerhaltender Datenbankanwendungsprogramme.,entwurfs:konsistenzerhaltender:unterstützung,Numerical Analysis
Lineare Parallelrechner.,parallelrechner.,Discrete Mathematics
RAPiD - ein Datenflußmodell zur Realisierung von UND-Parallelität und intelligentem Backtracking in Hornklausel-Programmen.,datenflußmodell:und-parallelität,Multimedia
Nonuniform complexity classes with sub-linear advice functions.,classes:complexity,Robotics
Graph reduction on shared-memory multiprocessors.,multiprocessors.:graph,Hardware Architecture
Segmentorientierte Analyse und nichtlineare Auswertung für die dynamische Unterschriftsverifikation.,unterschriftsverifikation.:dynamische,Databases
Approximation algorithms for geometrical distance problems that are not solvable exactly.,algorithms:solvable,Other Computer Science
Modifications and acyclic decompositions of relational database schemes.,schemes.:relational:decompositions,Symbolic Computation
Multioperator Weighted Monadic Datalog.,datalog.:monadic,Logic in Computer Science
Rekonstruktionsverfahren zur optischen Tomographie.,optischen:rekonstruktionsverfahren,General Literature
Dynamische objektorientierte Interaktion und ihre Implementierung im Rahmen eines Schnittstellenverwaltungssystems.,dynamische:objektorientierte:schnittstellenverwaltungssystems.,Computer Vision and Pattern Recognition
Exzeptionelle Vektorbündel und Reflektionen an Kippgarben über projektiven gewichteten Kurven.,reflektionen:vektorbündel,Information Retrieval
Das Traveling Salesman Problem unter disjunktiven Zusatzrestriktionen.,problem:disjunktiven,Numerical Analysis
Flexible Unterstützung für Entwurfsprozesse im Kontext von Verwaltungsaufgaben.,verwaltungsaufgaben.:kontext:entwurfsprozesse,Neural and Evolutionary Computing
Distributed and parallel graph algorithms - models and experiments.,experiments.:algorithms, Computational Geometry
Die Entwurfsphase in MIKE - Methode und Beschreibungssprache.,methode:beschreibungssprache.:mike,Machine Learning
On the representation of mathematical concepts and their translation into first-order logic.,concepts:representation:first-order,Networking and Internet Architecture
Hardware-Entwurf auf abstrakten Ebenen unter Verwendung von Methoden aus dem Software-Entwurf.,verwendung:methoden:software-entwurf.,Neural and Evolutionary Computing
Sichtbarkeit von Freileitungen - erster Einsatz der graphischen Datenverarbeitung und Bildanalyse.,datenverarbeitung:bildanalyse.:graphischen,Information Theory
Mustererkennung mit neuronalen Assoziativspeichernetzen.,mustererkennung:assoziativspeichernetzen.,Logic in Computer Science
Robuste Navigation autonomer mobiler Systeme.,robuste:systeme.,Programming Languages
On the automatic generation of test patterns from mixed-level hardware descriptions.,mixed-level:descriptions.,Digital Libraries
Semantische Mediation für heterogene Informationsquellen.,semantische:mediation:informationsquellen.,Social and Information Networks
New approaches to in silico design of epitope-based vaccines.,epitope-based:silico:approaches,Computation and Language
Analysis of low-resolution range image sequences.,low-resolution:analysis,Cryptography and Security
Dynamic data structures on multiple storage media.,media.:storage:multiple,Machine Learning
"Planbasierte Hilfeverfahren für direkt-manipulative Systeme - Erkennung, Vervollständigung und Visualisierung von Interaktionsplänen.",interaktionsplänen.:systeme,General Literature
Symbolic modelling of the dynamic environments of autonomous agents.,symbolic:dynamic,Databases
Analysis dynamischer Datenstrukturen mittels Kettenbrüchen.,dynamischer:kettenbrüchen.:datenstrukturen,Performance
Programmation dynamique et traitement d'images sur machines parallèles à mémoire distribuée. (Dynamic programming and image processing on distributed memory computers).,mémoire:programmation,Other Computer Science
Interaktive wissensbasierte Indexierung.,interaktive:wissensbasierte,Performance
Skalierbares und flexibles Live-Video Streaming mit der Media Internet Streaming Toolbox.,flexibles:streaming,Multiagent Systems
Aktives Sehen zur Echtzeitobjektverfolgung.,sehen:echtzeitobjektverfolgung.,Computational Complexity
Vergleichende Bewertung konnektionistischer Modelle mit klassischen statistischen Klassifikationsverfahren.,klassifikationsverfahren.:statistischen,Computation and Language
Parallele Abarbeitung logischer Programme auf einem Multi-Transputer-System.,abarbeitung:programme:logischer,Databases
Automates a contraintes arithmetiques et procedures d'evaluation ascendante de programmes logiques.,contraintes:automates:et,Cryptography and Security
Mit a-Si:H-Dünnschichttransistoren angesteuerte flache Flüssigkristall-Bildschirme für Direktsicht und Projektion.,projektion.:angesteuerte,Mathematical Software
Document verification with temporal description logics.,verification:temporal:description,Computation and Language
Structure-based molecule indexing for sublinear virtual screening.,indexing:sublinear,Computational Complexity
Selbsteinschätzende Lernverfahren - Möglichkeiten und Grenzen.,selbsteinschätzende:grenzen.:möglichkeiten,Formal Languages and Automata Theory
Schematransformationen in Datenbanken.,schematransformationen,Computational Complexity
Quality of Service and Optimization in Data Integration Systems.,integration:quality,Computer Science and Game Theory
Kontinuierliche Verhaltenssteuerung eines autonomen Fahrzeugs in dynamischer Umgebung.,umgebung.:verhaltenssteuerung:dynamischer,Other Computer Science
Providing decision support in the operative management of process disruptions.,decision:management:process,Information Theory
Analyse und Bewertung der Konfigurierung von graphischen Systemen auf Mehrprozessor-Architekturen.,graphischen:bewertung:analyse,Hardware Architecture
Markov localization - a probabilistic framework for mobile robot localization and navigation.,probabilistic:framework:navigation.,Social and Information Networks
A rate allocation protocol using competitive pricing for improving performance of multicast sessions.,using:competitive:pricing,Networking and Internet Architecture
Funktionsorientierte Hardware zur Lösung des Suchproblems - Entwicklung und Möglichkeiten.,funktionsorientierte:entwicklung,Symbolic Computation
Improving computer communication performance by reducing memory bandwidth consumption.,memory:communication:consumption.,Computational Complexity
Multimodale Interaktion in virtueller Realität am Beispiel der virtuellen Konstruktion.,konstruktion.:beispiel:interaktion,Computer Science and Game Theory
Nebenläufiges Parsing - ein lexikalisch verteiltes Verfahren zur performanzgrammatischen Analyse beim Textverstehen.,verteiltes:parsing:verfahren,Artificial Intelligence
Assoziative Methoden zur Mustererkennung.,methoden:assoziative,Graphics
Beiträge zum mobilen Empfang von Satellitensignalen mit adaptiven Antennen spezieller Bauformen.,beiträge:adaptiven:bauformen.,Cryptography and Security
Natural language in model world interfaces.,natural:language,Graphics
Datenparallele Auswertung rekursiver logischer Programme.,datenparallele:logischer:programme.,Computer Vision and Pattern Recognition
"Analysis of high throughput data - protein protein interactions, protein complexes and RNA half life.",high:protein:complexes,Computational Complexity
Näherungsverfahren nach dem Prinzip der maximalen Entropie für Warteschlangen-Verteilungen in geschlossenen Netzwerken.,prinzip:entropie:maximalen,Emerging Technologies
Projection in constraint logic programming.,logic:projection,Hardware Architecture
Betriebsmittelbereitstellung für flexible Fertigungssysteme.,flexible:betriebsmittelbereitstellung,Digital Libraries
Dynamic Code Evolution for Java.,dynamic:code:java.,Networking and Internet Architecture
Emissionen klimarelevanter Gase aus der Landwirtschaft - regionale Darstellung und Abschätzung unter Nutzung von GIS am Beispiel des württembergischen Allgäus.,regionale:landwirtschaft:nutzung,Computational Engineering Finance and Science
Abstract resource language ARL - eine Sprache zur Spezifikation und Kontrolle von Biocomputing Experimenten.,language:abstract:spezifikation,Multiagent Systems
Ein Verarbeitungsmodell für datenbankgestützte Ingenieuranwendungen in einer arbeitsplatzrechnerorientierten Ablaufumgebung.,datenbankgestützte:arbeitsplatzrechnerorientierten,Computers and Society
Verwaltung heterogener Informationen auf optischen Speicherplatten an graphisch-interaktiven Arbeitsplätzen.,speicherplatten:arbeitsplätzen.,Digital Libraries
Ein wissensbasiertes System zur Modellbildung und Analyse industrieller Handhabungssysteme.,modellbildung:system:wissensbasiertes,Digital Libraries
Hardware and software mechanisms for reducing load latency.,hardware:mechanisms,Neural and Evolutionary Computing
Konstruktion von Wissensrepräsentationssprachen durch Nutzen und Erweitern objektorientierter Sprachmittel.,erweitern:wissensrepräsentationssprachen,Human-Computer Interaction
Bildbeschreibung als Verbindung von visuellem und sprachlichem Raum - eine interdisziplinäre Untersuchung von Bildvorstellungen in einem Hörermodell.,bildbeschreibung:interdisziplinäre,Performance
Quantitative Analyse der Spontanmotorik von Säuglingen für die Prognose der infantilen Cerebralparese.,cerebralparese.:prognose,Computer Vision and Pattern Recognition
On Gröbner bases in monoid and group rings.,rings.:bases,Information Retrieval
Decidabilite en arithmetiques faibles temps reel sur automates cellulaires.,faibles:arithmetiques:cellulaires.,Information Retrieval
Software-Werkzeuge für graphisch-interaktive Anwendungen im technischen Bereich.,bereich.:graphisch-interaktive,Other Computer Science
Safety assurance in interlocking design.,interlocking:safety,Performance
Instruction-processing optimization techniques for VLSI microprocessors.,techniques:vlsi,Graphics
Neuronale Netze und die Induktion symbolischer Klassifikationsregeln.,induktion:neuronale:netze,Computational Engineering Finance and Science
Antirationale Transduktionen und ihre Sprachfamilien.,transduktionen:sprachfamilien.,Operating Systems
Automatisiertes Schließen über Kausalbeziehungen mit SLDENDF-Resolution.,kausalbeziehungen:sldendf-resolution.,Symbolic Computation
Resource-efficient fault and intrusion tolerance.,tolerance.:resource-efficient,Computation and Language
Darstellung und Integration von Wissen in verbandsbasierten signierten Logikprogrammen.,signierten:darstellung,Numerical Analysis
Towards a strictness analyser for Haskell - putting theory into practice.,towards:theory,Hardware Architecture
Efficient object-based hierarchical radiosity methods.,object-based:efficient:methods.,Social and Information Networks
Relatedness in evidence networks.,evidence:networks.,Multiagent Systems
"Visualisierungssysteme - Strukturen, Analysen und Verfahren zur Leistungssteigerung durch einen zum Strukturspeicher erweiterten Bildspeicher.",visualisierungssysteme:strukturspeicher:erweiterten,Computation and Language
Online Surfface Reconstruction from Unorganized Point Clouds with Integrated Texture Mapping.,clouds:reconstruction,Emerging Technologies
Applikation und Implementation neuartiger Algorithmen zur digitalen Lagesteuerung elektrohydraulischer Antriebssysteme.,lagesteuerung:antriebssysteme.,Systems and Control
On the hierarchical design of distributed systems.,design:systems.,Sound
Abschätzungstoleranzen im hierarchischen VLSI-Entwurf.,hierarchischen:abschätzungstoleranzen,Numerical Analysis
Informationsübertragung in L-Systemen.,informationsübertragung,Computational Engineering Finance and Science
Architektur eines wissensbasierten Systems zur Unterstützung der Konzeptionsphase in der Konstruktion.,konstruktion.:systems,Cryptography and Security
"Partitionierung und Analyse statischer, digitaler CMOS-Schaltungen auf der Schalterebene einer Mixed-Level Testgenerierung.",mixed-level:analyse:partitionierung,Human-Computer Interaction
Topological vector field visualization with Clifford algebra.,vector:topological,Information Retrieval
Untersuchungen über mathematische Maschinen und Simulationen - ein Charakterisierungssatz für die Existenz minimaler Makroauflösungen mathematischer Maschinen.,mathematische:existenz,Computer Science and Game Theory
Das Schülerinteresse am Computer und seine Berücksichtigung bei der didaktisch-methodischen Gestaltung des informationstechnischen Unterrichtes.,didaktisch-methodischen:schülerinteresse:computer,Artificial Intelligence
On Information-Theoretic Security - Contemporary Problems and Solutions.,security:problems:information-theoretic,Computation and Language
Techniken für die Bewertung von Spielsituationen anhand von Beispielen.,techniken:beispielen.:anhand,Robotics
Räumliche Fragestellungen bei der Konfigurierung.,fragestellungen:konfigurierung.,Computer Vision and Pattern Recognition
Power domain constructions.,constructions.:power,Other Computer Science
READLEX - ein wörterbuchbasierter Ansatz für die Erkennung und Analyse von Text in strukturierten Dokumenten.,readlex:dokumenten.,Mathematical Software
Computergestütztes Komponieren - wissensbasierte Werkzeuge zur Manipulation musikalischer Gestalten.,manipulation:musikalischer,Computer Science and Game Theory
ClusterRAID - architecture and prototype of a distributed fault-tolerant mass storage system for clusters.,distributed:fault-tolerant,Numerical Analysis
Parallele Algorithmen für geometrische Probleme im R3.,probleme:geometrische:algorithmen,Data Structures and Algorithms
Data-parallel implementations of map analysis and animal movement for landscape ecology models.,implementations:analysis,Graphics
On optimum convergence rates of the Crank-Nicholson scheme to the stokes initial value problem in higher order function spaces using realistic data.,value:higher,Formal Languages and Automata Theory
"Fastkonvergenz, Faktorfolgen und fastkonvergentes Wirkfeld von Matrixverfahren.",matrixverfahren.:faktorfolgen,Other Computer Science
Placement and global routing of VLSI Macro-cell layouts using genetic algorithms.,macro-cell:using:genetic,Graphics
Expressiveness of conditional equational systems with built-in predicates.,systems:predicates.:equational,Software Engineering
3D invariants for automated pollen recognition.,3d:automated,Numerical Analysis
Hüllflächen-Diagnose am Beispiel der Radbewegung.,hüllflächen-diagnose:beispiel, Computational Geometry
"Approximation, Reduktion und Regelextraktion - Semantikbeschreibung für Neuronale Netze.",regelextraktion:semantikbeschreibung:netze.,Human-Computer Interaction
Computational complexity versus structural simplicity.,computational:versus,Information Theory
"The architecture of eNVy, a non-volatile, main memory storage system.","envy,:memory:system.",Computer Science and Game Theory
"Visual evaluation, scaling and transport of secure videos.",scaling:videos.,Distributed Parallel and Cluster Computing
Zum Lernen mit guten Beispielen.,beispielen.:lernen,Operating Systems
"Coalgebras, monads and semantics.",monads:semantics.,Networking and Internet Architecture
Structural properties of complexity classes.,classes.:properties:complexity,Formal Languages and Automata Theory
Hausdorff-Reduktionen zu Mengen mit geringem Informationsgehalt.,informationsgehalt.:mengen:geringem,Symbolic Computation
Eine wissensbasierte Technik zur Testfallauswahl im Konformitätstest von Protokollen.,testfallauswahl:protokollen.,Information Retrieval
Qualitätsmanagement bei Softwarewettbewerben - empirische Untersuchungen und weiterführende Konzepte.,weiterführende:softwarewettbewerben,Computational Complexity
Entwurf graphischer Benutzerschnittstellen - ein objektorientiertes Interaktionsmodell zur Spezifikation graphischer Dialoge.,objektorientiertes:spezifikation:entwurf,Databases
"Rasterdisplay-Prozessoren - ihre Bedeutung, Konzepte und Verfahren.","konzepte:verfahren.:bedeutung,",Computational Engineering Finance and Science
Performance management in ATM networks.,atm:networks.,Computational Complexity
Binary recovery methods for inverse problems.,problems.:methods:binary,Programming Languages
Novel Techniques for Efficient and Effective Subgroup Discovery.,techniques:discovery.,Operating Systems
Parallele Implementierung einer funktionalen Programmiersprache auf einem OCCAM-Transputer-System unter besonderer Berücksichtigung applikativer Datenstrukturen.,berücksichtigung:datenstrukturen.,Distributed Parallel and Cluster Computing
Global analysis and optimizing compilation of constraint solving algorithms in constraint logic programming.,constraint:constraint, Computational Geometry
Integrating twofold case retrieval and complete decision replay in CAPlan/CBC.,twofold:caplan/cbc.:replay,Computational Engineering Finance and Science
"Parallele Anfrageausführung in Shared-Nothing Datenbanksystemen - Architektur, Leistungsanalyse und -optimierung.",-optimierung.:parallele,Data Structures and Algorithms
System für die Programmierung verteilter objektorientierter Applikationen.,objektorientierter:programmierung,Artificial Intelligence
Interaktonen und Solitonwechselwirkungen in der komplexen Ebene.,ebene.:interaktonen,Other Computer Science
Object-oriented design and architecture of distributed systems.,architecture:object-oriented,Sound
"Program modules, separate compilation, and intermodule optimisation.","modules,:compilation,",Formal Languages and Automata Theory
Computational Aspects of Abstract Argumentation.,computational:argumentation.,Graphics
Decidabilite de l'algebricite de langages associes aux reseaux de Petri.,aux:reseaux,Artificial Intelligence
Automatische Erkennung und Ausführung von Korrekturanweisungen in Textdokumenten.,textdokumenten.:ausführung:erkennung,Formal Languages and Automata Theory
Induktive Konstruktion von merkmalsbasierten und logischen Klassifikatoren für relationale Strukturen.,induktive:relationale,Operating Systems
Deklarative Semantik von Logikprogrammen mit Prologs Auswertungsstrategie.,auswertungsstrategie.:logikprogrammen,Distributed Parallel and Cluster Computing
Exploiting Spatial and Temporal Coherence in GPU-based Volume Rendering.,spatial:volume,Numerical Analysis
Stochastic models for performance analyses of iterative algorithms in distributed environments.,analyses:stochastic:performance,Mathematical Software
Kriterien und Zertifizierung mehrseitiger IT-Sicherheit - eine Untersuchung der technischen Grundlagen und der organisatorischen Rahmenbedingungen.,organisatorischen:untersuchung,Numerical Analysis
Variationelle optische Flussberechnung - präzise Modellierung und effziente Numerik.,variationelle:optische:flussberechnung,Systems and Control
Inkrementelle semantische Analyse in unvollständigen Programmfragmenten mit Kontextrelationen.,kontextrelationen.:unvollständigen:programmfragmenten,Data Structures and Algorithms
Distributed execution environments for the CODE 2.0 parallel programming system.,distributed:system.,Sound
"Assembly of the interactome, characterization of functional modules and novel approaches to the analysis of signaling networks in human platelets.","signaling:interactome,:assembly",Software Engineering
MOSKITO - ein Betriebssystem-Kern für verteilte Echtzeitanwendungen.,betriebssystem-kern:verteilte:moskito,Graphics
Recognition of circular-arc graphs and some subclasses.,circular-arc:subclasses.,Systems and Control
Integration von Spracherkennung und Sprachverstehen.,spracherkennung:sprachverstehen.,Multiagent Systems
Zur formalen Äquivalenz von ebenen algebroiden Kurven in beliebiger Charakteristik.,formalen:äquivalenz,Distributed Parallel and Cluster Computing
Parallel map analysis on the CM-5 for landscape ecology models.,cm-5:analysis,Information Retrieval
Konstruktion und Optimierung von Bewertungsfunktionen beim Schach.,schach.:bewertungsfunktionen,Information Theory
CoMPaS - ein computergestütztes multimediales System zur Erstellung und Verwaltung von Patientenakten.,verwaltung:patientenakten.,Discrete Mathematics
Charakterisierung von identifizierbaren Mengen partiell rekursiver Funktionen.,funktionen.:identifizierbaren,Systems and Control
Parallele Bilderkennung mit hierarchischen Formprimitiven auf Transputernetzen.,bilderkennung:formprimitiven,Computer Vision and Pattern Recognition
Der LSD-Baum - eine mehrdimensionale Zugriffsstruktur und ihre Einsatzmöglichkeiten in Datenbanksystemen.,mehrdimensionale:datenbanksystemen.,Computational Complexity
"Fallbasiertes Problemlösen in wissensbaiserten Systemen zur Entscheidungsunterstützung und Diagnostik - Grundlagen, Systeme und Anwendungen.",diagnostik:wissensbaiserten:fallbasiertes,Numerical Analysis
Kolmogorov randomness and its applications to structural complexity theory.,randomness:structural:kolmogorov,Mathematical Software
Topology preserving neural networks - connectionist learning of structured knowledge.,neural:connectionist:knowledge.,Computer Science and Game Theory
Ein Ebenenmodell wissensbasierter Konsultationen - Unterstützung für Wissensakquisition und Erklärungsfähigkeit.,wissensbasierter:erklärungsfähigkeit.:wissensakquisition,Digital Libraries
Verfahren und Schaltungseinheiten für Hochleistungsgraphik und Visualisierung.,verfahren:visualisierung.,Emerging Technologies
The SDL pattern approach - a reuse-driven SDL methodology for designing communication software systems.,reuse-driven:designing:methodology,Computation and Language
Reaktives Planen mit gelernten Begriffen.,planen:begriffen.:gelernten,Robotics
Modal logic and the Curry-Howard isomorphism.,logic:curry-howard,Networking and Internet Architecture
Paires iterantes et langages algebriques.,langages:iterantes,Mathematical Software
Efficient program monitoring techniques.,program:monitoring,Databases
Zur Lösung von Finite-Differenzen-und Finite-Element-Gleichungen mittels der Hierarchischen-Transformations-Mehrgitter-Methode - Sonderforschungsbericht 342: Methoden und Werkzeuge für die Nutzung paralleler Rechnerarchitekturen.,342::hierarchischen-transformations-mehrgitter-methode,Neural and Evolutionary Computing
Vergleich der Leistungsfähigkeit von artifiziellen neuronalen Netzen und biologischen neuronalen Netzen am Beispiel bekannter Lernmechanismen.,bekannter:leistungsfähigkeit:netzen,Computational Complexity
Web ontology reasoning with logic databases.,logic:ontology:web,Neural and Evolutionary Computing
Advances in dissimilarity-based data visualisation.,dissimilarity-based:advances,Computational Engineering Finance and Science
Integrated natural language generation with Schema-TAGs.,schema-tags.:generation,Social and Information Networks
Subtree replacement systems.,replacement:systems.,Data Structures and Algorithms
Bildbasierte Erzeugung kollisionsfreier Transferbewegungen für Industrieroboter.,erzeugung:industrieroboter.,Sound
Structural decomposition of hybrid systems.,structural:systems.:hybrid,Performance
Forecasting in database systems.,systems.:forecasting,Networking and Internet Architecture
Lastverteilungsverfahren zur effizienten Nutzung paralleler Systeme.,systeme.:lastverteilungsverfahren,Discrete Mathematics
"A declarative integration of teminological, constraint-based, data-driven, and goal-directed reasoning.","declarative:teminological,",Multimedia
"Komplexe interaktive Systeme in der anwendungsorientierten Informatik - interdisziplinäre Analyse-, Entwicklungs- und Gestaltungsmethoden.",interdisziplinäre:informatik,Multiagent Systems
Autonomous dynamic reconfiguration in collaborative problem solving.,reconfiguration:collaborative:autonomous,Programming Languages
Computational aspects of a first-order logic with sorts.,computational:logic,Neural and Evolutionary Computing
Scalable exploration of spatial data in large-scale scientific simulations.,simulations.:scalable,Symbolic Computation
Program and data transformations for efficient execution on distributed memory architectures.,efficient:architectures.,Programming Languages
SESAME - ein objekt- und datenflußorientierter Simulator für Modelle der Neuroinformatik und angrenzender Gebiete.,angrenzender:sesame,Emerging Technologies
CDL - eine Logik für unendliche nebenläufige Systeme.,cdl:nebenläufige,Databases
Simulation von Kunst- und Tageslicht mit dem Radiosity-Verfahren.,simulation:radiosity-verfahren.:kunst-,Emerging Technologies
Incorporating guarded execution into existing instruction sets.,sets.:existing,Software Engineering
Respiratory motion correction on 3D positron emission tomography images.,positron:emission,Numerical Analysis
Considerations on default logics.,default:considerations,Machine Learning
Realtime ray tracing and interactive global illumination.,ray:illumination.:realtime,Software Engineering
Methoden und rechnergestützte Werkzeuge für den logischen Datenbankentwurf.,logischen:datenbankentwurf.,Programming Languages
Specification and verification of mobile real-time systems.,real-time:mobile,Neural and Evolutionary Computing
Effective / efficient IT transformation decision processes.,transformation:processes.:/,Data Structures and Algorithms
Handling realtime traffic in mobile networks.,mobile:handling,Discrete Mathematics
Ein Framework generischer objekt-orientierter Basiskonzepte zur Werkzeug-Integration in unterschiedliche konzeptionelle Datenmodelle.,konzeptionelle:objekt-orientierter:unterschiedliche,Neural and Evolutionary Computing
Globale zyklische Schedulingstrategie - ein Ansatz zur Garantie der harten Zeitbedingungen inverteilten Echtzeitsystemen.,garantie:schedulingstrategie,Computer Vision and Pattern Recognition
"Stochastic local search - methods, models, applications.","applications.:models,:methods,",Operating Systems
Intensionale Updates in deduktiven Datenbanken.,updates:intensionale:deduktiven,Machine Learning
Architekturen und Modellierung von verteilten Systemen zur Bildverteilung mit Schwerpunkt in der Medizin.,modellierung:architekturen,Databases
Functional models in configuration systems.,functional:models:systems.,Multiagent Systems
Zur Seitenwechselkomplexität einfacher Referenzstrukturen.,referenzstrukturen.:einfacher,Computation and Language
Knowledge sharing and trading on electronic marketplaces.,knowledge:electronic:trading,Numerical Analysis
Ein wissensbasiertes natürlichsprachliches Dialogsystem mit Syntax-Semantik-Interaktion auf der Grundlage der Lexical-Functional-Theorie.,grundlage:wissensbasiertes,Performance
Entwurf und Bearbeitung von Datenbanken im Universalrelationen-Datenmodell.,entwurf:universalrelationen-datenmodell.,Machine Learning
Dissecting cellular states and cell state transitions through integrative analysis of epigenetic dynamics.,state:analysis:cell,Sound
Cooperation in heterogeneous theorem prover networks.,theorem:networks.:heterogeneous,Machine Learning
Illustrative visualization of medical data sets.,illustrative:medical:data,Discrete Mathematics
Intelligent-Service-System - von der Vereinheitlichung von Neuro-Fuzzysystemen für SOA bis zur Realisierung einer intelligenten dynamischen Service-Rekonfiguration.,vereinheitlichung:neuro-fuzzysystemen,Graphics
Rechnergestützte Wissensakquisition für Werkzeuge zum Entwurf integrierter Schaltungen.,entwurf:schaltungen.:integrierter,Mathematical Software
"Backup und Recovery in Datenbanksystemen - Verfahren, Klassifikation, Implementierung und Bewertung.",recovery:implementierung:datenbanksystemen,Programming Languages
Benutzermodellierung für benutzerspezifische Plangenerierung und -präsentation.,-präsentation.:benutzermodellierung,Hardware Architecture
"Teamwork - eine Methode zum Entwurf verteilter, wissensbasierter Theorembeweiser.",wissensbasierter:theorembeweiser.:methode,Social and Information Networks
Media encryption for still visual data - an analysis of selected techniques for natural images and fingerprint data in the spatial and wavelet domain.,still:analysis,Software Engineering
Gewinnung effektiver Relevanzbeschreibungen und Indexierungsfunktionen für die automatische Indexierung.,effektiver:automatische,Human-Computer Interaction
Verallgemeinerte kommutative Sprachen.,kommutative:sprachen.,Distributed Parallel and Cluster Computing
"On development, feasibility, and limits of highly efficient CPU and GPU programs in several fields - fast parallel SIMDized GPU-accelerated reed-solomon encoding, heterogeneous linpack benchmark, and event reconstruction for the ALICE experiment.",fast:heterogeneous,Computer Science and Game Theory
Transduction d'arborescences - application aux manipulations de formules sur ordinateur.,application:sur,Artificial Intelligence
Modeling of image variability for recognition.,modeling:image,Logic in Computer Science
The Asynchronous Graz Brain Switch.,switch.:graz:asynchronous,Formal Languages and Automata Theory
Decoupling Vision from Action - Redirected Walking and Rehabilitaiton in Immersive Virtual Environments.,immersive:redirected,Symbolic Computation
Toward a complexity theory for randomized search heuristics.,complexity:theory:search,Numerical Analysis
Stand und Perspektiven informatischer Berufsethik.,berufsethik.:stand:perspektiven,Computation and Language
On types and type consistency in logic programming.,consistency:types,Artificial Intelligence
