conference,city
DMA ,Kinshasa
SIGL ,Kinshasa
IJESA ,Tehran
CSITEC ,Tehran
IJCSA ,Tehran
NC ,Tehran
CSEIT ,Bangalore
IJCSEIT ,Bangalore
NeTCoM ,Bangalore
SPM ,Montcada
IJNGN ,Montcada
ECTIJ ,Montcada
IJFCSTIA ,Montcada
DMAP ,Montcada
IEIJ ,Montcada
CBDA ,Osaka
CMIT ,Osaka
IJGCA ,Osaka
ArIT ,Istanbul
CCSIT ,Istanbul
FCST ,Istanbul
NLCA ,Istanbul
SAIM ,Lagos
IJIST ,Lagos
IJSEA ,Lagos
IJNSA ,Barcelona
CoNeCo ,Barcelona
CSITA ,Barcelona
I4CS ,Barcelona
IJDKP ,Barcelona
IJWSC ,Shenzhen
IJANS ,Shenzhen
ITCA ,Shenzhen
DiSLiDaS ,Shenzhen
ACM--AITC--Ei and Scopus ,Shenzhen
EI/Scopus--AEEGE ,Buenos Aires
INSIGHT ,Buenos Aires
IEEE-EI/Scopus-ITCC ,Buenos Aires
"ACM--ICCMS--EI Compendex, Scopus ",Bangkok
EI/Scopus--DMBDA ,Bangkok
"ICCCS--IEEE, Ei Compendex, Scopus ",Bangkok
EI/Scopus--SPISCS ,Bangkok
IEEE-Ei/Scopus-CNIOT ,Bangkok
IJCI ,Moscow
SE ,Moscow
IJASA ,Moscow
ADCO ,Moscow
SP ,Kolkata
ITCSE ,Kolkata
IJMNCT ,Kolkata
CD-MAKE ,Kolkata
GET ,Kolkata
IHCI ,New York
TPMC ,New York
ICDT ,New York
BigDaCI ,New York
RuhrSec ,New York
EL ,New York
EH ,New York
ICT ,New York
WBC ,New York
SERA ,Cairo
CSC ,Cairo
ICTS4eHealth,Cairo
SAM,Cairo
MIET ,Beijing
AMMS--EI and Scopus,Beijing
ICCCV--Ei and Scopus,Beijing
"IEEE SEAI--EI Compendex, Scopus",Beijing
"NLPAI--Ei Compendex, Scopus ",Beijing
"ICCEE--Ei Compendex, Scopus ",Beijing
"IEEE--PRML--Ei, Scopus ",Beijing
IJSCAI ,Beijing
ICCSEA ,Guangzhou
IPPR ,Guangzhou
DMDBS ,Guangzhou
AIS ,Guangzhou
IJP2P ,Guangzhou
IJFCST ,Mexico City
COMSCI ,Mexico City
NLAI ,Mexico City
MLAINLP ,Mexico City
Fuzzy ,Seoul
IJSCMC ,Seoul
SOENG ,Seoul
BDAP ,Seoul
AMS ,Seoul
IJMECH ,Seoul
MLNLP ,Seoul
CSEA ,Seoul
WiMoA ,Sao Paulo
IJEL ,Sao Paulo
EDU ,Sao Paulo
AIAD ,Sao Paulo
DTMN ,Sao Paulo
ITCON ,Sao Paulo
IJMIT ,Shanghai
IJITMC ,Shanghai
MEAP ,Shanghai
DaMi ,Shanghai
NEATCLasS ,Shanghai
"CCAT--Ei, Scopus ",Manila
"IEEE--CCAI--EI Compendex, Scopus ",Manila
"ICCSM--Scopus, EI ",Manila
"ACM--ICHMI--Ei Compendex, Scopus ",Manila
"ACM--ICBDC--EI Compendex, Scopus ",Mumbai
IEEE-Ei/Scopus-CTISC ,Mumbai
"ACM--VRIP--EI, Scopus ",Mumbai
Sp.issue LNLM - CI & Electrical Systems ,Mumbai
EAMM ,Delhi
Demos@AIME ,Delhi
"IEEE--ICVR--Ei Compendex, Scopus ",Delhi
"IEEE--ICVR--Ei Compendex, Scopus ",Delhi
IDC ,Delhi
CASA--SCI ,Jakarta
"ACCC--Ei Compendex, Scopus ",Jakarta
GreenCom ,Jakarta
dsaa ,Jakarta
dsaai ,Tokyo
IC2E ,Tokyo
"IEEE--CompAuto--EI, Scopus ",Tokyo
TSP ,Tokyo
ICCS ,Wuhan
IADSDTP ,Wuhan
"WSEA--Ei Compendex, Scopus ",Barcelona
